team_id,player_id,name
1,4426348,Jayden Daniels
3,4262921,Justin Jefferson
5,4429795,Jahmyr Gibbs
6,3117251,Christian McCaffrey
7,3915511,Joe Burrow
8,3929630,Saquon Barkley
11,4430807,Bijan Robinson
12,4040715,Jalen Hurts
13,4362628,Ja'Marr Chase
14,3043078,Derrick Henry
15,3916387,Lamar Jackson
16,3918298,Josh Allen
